Title,Description,Address,Postcode,Link
Royal Yacht Britannia,"Step aboard Queen Elizabeth II’s former floating palace and experience this iconic attraction for yourself. Rated Tripadvisor’s No.1 UK Attraction (AGAIN), Britannia is one of the most famous ships in the world…Royal Deck Tearoom. Only 15 minutes from Edinburgh City Centre. Lothian Bus services from Edinburgh city centre are - 10, 16, 34 and 35. Edinburgh trams run from Edinburgh Airport through the city centre and down to Leith. To visit Britannia get off the tram at stop Ocean Terminal","Ocean Drive Ocean Terminal, Edinburgh EH6 6JJ Scotland",EH6 6JJ,https://www.tripadvisor.co.uk/Attraction_Review-g186525-d187652-Reviews-Royal_Yacht_Britannia-Edinburgh_Scotland.html
Bodleian Library,"The world-famous Bodleian Libraries is a must-see cultural destination in the heart of Oxford. The Bodleian Library was founded by Sir Thomas Bodley and officially opened in 1602. Since then the Bodleian libraries has grown to be the largest academic library system in the UK. In its reading rooms generations of famous scholars have studied through the ages, amongst them monarchs, Nobel Prize winners, British Prime Ministers and writers including Oscar Wilde, C.S. Lewis and J.R.R. Tolkien. At the site, you can explore historic spaces that you might recognise from popular films and TV series such as Harry Potter and A Discovery of Witches. We also offer free, inspiring exhibitions featuring the libraries’ rich collections, two unique gift shops and a lovely café.","Broad Street University Of Oxford, Oxford OX1 3BG England",OX1 3BG,https://www.tripadvisor.co.uk/Attraction_Review-g186361-d208238-Reviews-Bodleian_Library-Oxford_Oxfordshire_England.html
Highgate Cemetery,"Beautiful Victorian cemetery near to Hampstead Heath. Highgate Cemetery has some of the finest funerary architecture in the country. It is a place of peaceful contemplation where trees, memorials and wildlife flourish.","Swains Lane Highgate, London N6 6PJ England",N6 6PJ,https://www.tripadvisor.co.uk/Attraction_Review-g186338-d194290-Reviews-Highgate_Cemetery-London_England.html
The British Museum,"With a record-breaking collection of more than 8 million objects spread across a whopping 990,000 square feet, The British Museum is a heavyweight in arts and culture. Individual items here are landmarks in their own right, including the Rosetta Stone, the Parthenon sculptures, the bust of Ramesses the Great, a turquoise Aztec serpent, and a moai statue from Rapa Nui.","Great Russell Street, London WC1B 3DG England",WC1B 3DG,https://www.tripadvisor.co.uk/Attraction_Review-g186338-d187555-Reviews-The_British_Museum-London_England.html
Edinburgh Castle,"Edinburgh Castle is a world famous icon of Scotland and part of the Old and New Towns of Edinburgh’s World Heritage Site. It was recently voted top UK Heritage Attraction in the British Travel Awards and is Scotland’s number one paid-for tourist attraction. This most famous of Scottish castles has a complex building history. The oldest part, St Margaret's Chapel, dates from the 12th century; the Great Hall was erected by James IV around 1510; the Half Moon Battery by the Regent Morton in the late 16th century; and the Scottish National War Memorial after the First World War. The castle houses the Honours (Crown Jewels) of Scotland, the famous 15th century gun Mons Meg, the One O' Clock Gun and the National War Museum of Scotland.","Castlehill, Edinburgh EH1 2NG Scotland",EH1 2NG,https://www.tripadvisor.co.uk/Attraction_Review-g186525-d187653-Reviews-Edinburgh_Castle-Edinburgh_Scotland.html
Tower Bridge,"An iconic London landmark and one of Britain's best loved historic sites, Tower Bridge is open to the public 363 days a year. Within the Bridge's iconic structure and magnificent Victorian Engine rooms, the Tower Bridge Exhibition is the best way of exploring the most famous bridge in the world! Come learn about this incredible feat of Victorian engineering, discover how the Bridge is raised and enjoy stunning panoramic views across London from our high-level walkways, 42 metres above the River Thames.","Tower Bridge Road, London SE1 2UP England",SE1 2UP,https://www.tripadvisor.co.uk/Attraction_Review-g186338-d187552-Reviews-Tower_Bridge-London_England.html
The Roman Baths,"The Roman Baths is one of the finest historic sites in Northern Europe, and one of the most popular tourist attractions in the UK. Hidden beneath the present city of Bath lies the stone remains of one of the finest religious spas of the ancient world.","Abbey Church Yard, Bath BA1 1LZ England",BA1 1LZ,https://www.tripadvisor.co.uk/Attraction_Review-g186370-d187743-Reviews-The_Roman_Baths-Bath_Somerset_England.html
National Maritime Museum,"Experience the world's largest maritime museum, filled with inspirational stories of exploration and endeavour at sea and packed to the gunwales with intriguing objects and fascinating galleries. See the uniform Nelson wore at the Battle of Trafalgar, steer a ship into port and fire at pesky pirates.","Romney Rd, London SE10 9NF England",SE10 9NF,https://www.tripadvisor.co.uk/Attraction_Review-g186338-d187600-Reviews-National_Maritime_Museum-London_England.html
Natural History Museum,"Tiny insects. Huge fossils. Out-of-this-world meteorites. The Natural History Museum has a showstopping collection that fascinates an all-ages crowd. But for some, the building—a stunning landmark dating to 1881—is just as much of a draw. In Hintze Hall, the architectural crown jewel, you’ll find 78 carved monkeys “climbing” the columns—be sure to keep your eyes peeled for one that looks like Charles Darwin.","Cromwell Road, London SW7 5BD England",SW7 5BD,https://www.tripadvisor.co.uk/Attraction_Review-g186338-d187676-Reviews-Natural_History_Museum-London_England.html
Stonehenge,"One of the most important survivals of prehistoric England, Stonehenge consists of a group of huge rough-cut stones, some more than 20 feet high, arranged in two concentric circles.","A344, Amesbury, Wiltshire, SP4 7DE",SP4 7DE,https://www.tripadvisor.co.uk/Attraction_Review-g186414-d188527-Reviews-Stonehenge-Salisbury_Wiltshire_England.html
York Minster,,"Minster Yard Deangate, York YO1 7HH England",YO1 7HH,https://www.tripadvisor.co.uk/Attraction_Review-g186346-d212104-Reviews-York_Minster-York_North_Yorkshire_England.html
Spinnaker Tower,"The Spinnaker Tower is a 170-metre landmark observation tower in Portsmouth, England. It is the centrepiece of the redevelopment of Portsmouth Harbour, which was supported by a National Lottery grant. We offer a wide variety of experiences, from specialist high tea to access to your viewing platform. Come and experience the best view in town.","Gunwharf Quays, Portsmouth PO1 3TT England",PO1 3TT,
Eden Project,"Trek through the world's largest indoor rainforest, take in the sights and smells of our Mediterranean Biome, and explore our huge outdoor gardens. At the Eden Project you'll discover the fascinating relationships between plants and people. You'll also find a full calendar of family events throughout the year and music festivals in the summer. As an educational charity we run transformational social and environmental projects locally and internationally.",,PL24 2SG,https://www.tripadvisor.co.uk/Attraction_Review-g10501470-d2233181-Reviews-Eden_Project-Bodelva_Cornwall_England.html